id,original_text,segmented_text,equation,ans
120002,"If there are 27 rows of chairs for the fifth grade play, each with 16 chairs, and the school has a total of 9 classrooms, how many chairs have been put out in total?",,X=(27.0*16.0),432
130002,"How many rows of armchairs are there for the fifth grade play if there are a total of 432 armchairs and each row has 16 armchairs, and the school has a total of 2 computer labs?",,X=(432.0/16.0),27
140002,"If there are 27 rows of cushions for the fifth grade play, each with 16 cushions, and the school has a total of 9 classrooms, how many cushions have been put out in total?",,X=(27.0*16.0),432
150002,"For the fifth grade play, the stools have been set up in 27 rows, each with 16 stools. The school has a total of 4 soccer fields. How many stools have been prepared for the play?",,X=(27.0*16.0),432
160002,"For the play, the sofas have been arranged in 27 rows. Each row has 16 sofas. How many sofas have been set up in total?",,X=(27.0*16.0),432
3,There are 41 short trees and 44 tall trees currently in the park . Park workers will plant 57 short trees today . How many short trees will the park have when the workers are finished ?,There are 41 short trees and 44 tall trees currently in the park . Park workers will plant 57 short trees today . How many short trees will the park have when the workers are finished ?,X=41+57,98
10003,"How many short bushes are there in the park if there are a total of 41 short bushes and 44 tall bushes, and park workers are planting 57 short bushes today?",,X=41+57,98
20003,Park workers will plant 57 small trees today. The park currently has 41 small trees and 44 large trees. How many small trees will the park have when the workers are finished?,,X=41+57,98
30003,"If there are 41 short plants and 44 tall plants in the park, and park workers are planting 57 short plants today, how many short plants will the park have when the workers are finished?",,X=41+57,98
40003,Park workers will plant 57 tiny trees today. The park currently has 41 tiny trees and 44 giant trees. How many tiny trees will the park have when the workers are finished?,,X=41+57,98
50003,"If there are 41 short shrubs and 44 tall shrubs in the park, and park workers are planting 57 short shrubs today, how many short shrubs will the park have when the workers are finished?",,X=41+57,98
60003,Park workers will plant 57 small saplings today. The park currently has 41 small saplings and 44 large saplings. How many small saplings will the park have when the workers are finished?,,X=41+57,98
70003,"If there are 41 short plants and 44 tall plants in the park, and park workers are planting 57 short plants today, how many short plants will the park have when the workers are finished?",,X=41+57,98
80003,Park workers will plant 57 tiny saplings today. The park currently has 41 tiny saplings and 44 giant saplings. How many tiny saplings will the park have when the workers are finished?,,X=41+57,98
90003,"If there are 41 short bushes and 44 tall bushes in the park, and park workers are planting 57 short bushes today, how many short bushes will the park have when the workers are finished?",,X=41+57,98
100003,Park workers will plant 57 small trees today. The park currently has 41 small trees and 44 large trees. How many small trees will the park have when the workers are finished?,,X=41+57,98
110003,"If there are 41 short plants and 44 tall plants in the park, and park workers are planting 57 short plants today, how many short plants will the park have when the workers are finished?",,X=41+57,98
120003,How many short trees will the park have when the workers are finished planting 57 short trees today if the park currently has 41 short trees and 44 tall trees?,,X=41+57,98
130003,"If there are 41 short plants and 44 tall plants in the park, and park workers are planting 57 short plants today, how many short plants will the park have when the workers are finished?",,X=41+57,98
140003,Park workers will plant 57 tiny trees today. The park currently has 41 tiny trees and 44 giant trees. How many tiny trees will the park have when the workers are finished?,,X=41+57,98
150003,"If there are 41 short shrubs and 44 tall shrubs in the park, and park workers are planting 57 short shrubs today, how many short shrubs will the park have when the workers are finished?",,X=41+57,98
160003,Park workers will plant 57 small saplings today. The park currently has 41 small saplings and 44 large saplings. How many small saplings will the park have when the workers are finished?,,X=41+57,98
4,Conner has 25000 dollars in his bank account . Every month he spends 1500 dollars . He does not add money to the account . How much money will Conner have in his account after 8 months ?,Conner has 25000 dollars in his bank account . Every month he spends 1500 dollars . He does not add money to the account . How much money will Conner have in his account after 8 months ?,x=25000.0-(1500.0*8.0),13000
10004,"How much money does Conner have in his bank account if he spends 1500 dollars every month and does not add money to the account, and he has 13000 dollars in his account after 8 months?",,x=(1500.0*8.0)+13000.0,25000
20004,Susan has 25000 dollars in her bank account. Every month she spends 1500 dollars. She does not add money to the account. How much money will Susan have in her account after 8 months?,,x=25000.0-(1500.0*8.0),13000
30004,Alex has 25000 dollars in his bank account. Every month he spends 1500 dollars. He does not add money to the account. How much money will Alex have in his account after 8 months?,,x=25000.0-(1500.0*8.0),13000
40004,Katie has 25000 dollars in her bank account. Every month she spends 1500 dollars. She does not add money to the account. How much money will Katie have in her account after 8 months?,,x=25000.0-(1500.0*8.0),13000
50004,John has 25000 dollars in his bank account. Every month he spends 1500 dollars. He does not add money to the account. How much money will John have in his account after 8 months?,,x=25000.0-(1500.0*8.0),13000
60004,Rachel has 25000 dollars in her bank account. Every month she spends 1500 dollars. She does not add money to the account. How much money will Rachel have in her account after 8 months?,,x=25000.0-(1500.0*8.0),13000
70004,"Conner's bank account has 25000 dollars in it. He spends 1500 dollars every month, without adding money to the account. How much money will Conner have in his account after 8 months?",,x=25000.0-(1500.0*8.0),13000
80004,"Conner's bank account has 25000 dollars in it. Every month, 1500 dollars are spent from it, without any additional money being added. How much money will Conner have in his account after 8 months?",,x=25000.0-(1500.0*8.0),13000
90004,"Conner has 25000 dollars in his bank account, and every month he spends 1500 dollars without adding any more money. How much money will Conner have in his account after 8 months?",,x=25000.0-(1500.0*8.0),13000
100004,"Conner has 25000 dollars in his bank account, and every month he spends 1500 dollars without increasing the amount. How much money will Conner have in his account after 8 months?",,x=25000.0-(1500.0*8.0),13000
110004,"Conner has 25000 dollars in his bank account, and every month he spends 1500 dollars without adding to the balance. How much money will Conner have in his account after 8 months?",,x=25000.0-(1500.0*8.0),13000
120004,"Conner has 25000 dollars in his bank account, and every month he spends 1500 dollars without depositing more. How much money will Conner have in his account after 8 months?",,x=25000.0-(1500.0*8.0),13000
130004,"Conner has 25000 dollars in his bank account, and every month he spends 1500 dollars without adding to it. How much money will be left in Conner's account after 8 months?",,x=25000.0-(1500.0*8.0),13000
140004,"Conner has 25000 dollars in his bank account, and every month he spends 1500 dollars without adding to it. What will the balance be in Conner's account after 8 months?",,x=25000.0-(1500.0*8.0),13000
150004,"Conner has 25000 dollars in his bank account, and every month he spends 1500 dollars without adding to it. What will the amount in Conner's account be after 8 months?",,x=25000.0-(1500.0*8.0),13000
160004,"How much money will Conner have in his account after 8 months, given that he has 25000 dollars in his bank account and spends 1500 dollars every month without adding any more money to the account?",,x=25000.0-(1500.0*8.0),13000
5,There are 34 dogwood trees currently in the park . Park workers will plant 49 dogwood trees today . How many dogwood trees will the park have when the workers are finished ?,There are 34 dogwood trees currently in the park . Park workers will plant 49 dogwood trees today . How many dogwood trees will the park have when the workers are finished ?,X=34+49,83
10005,"Currently, there are 34 oak trees in the park. Today, park workers will plant 49 oak trees. When the workers are finished, how many oak trees will the park have in total?",,X=34+49,83
20005,There are currently 34 cherry blossom trees in the park. The park workers will plant 49 cherry blossom trees today. How many cherry blossom trees will the park have after the workers finish planting them?,,X=34+49,83
30005,"There are a total of 34 maple trees in the park at present. The park workers are going to plant 49 maple trees today. When the workers are done, how many maple trees will there be in the park?",,X=34+49,83
40005,"At the moment, there are 34 elm trees in the park. Park workers will plant 49 elm trees today. How many elm trees will the park have when the workers are finished planting them?",,X=34+49,83
50005,"Currently, the park has 34 willow trees. Park workers will plant 49 willow trees today. How many willow trees will the park have after the workers finish planting them?",,X=34+49,83
60005,"How many dogwood trees will the park have when the workers are finished planting 49 more trees, given that there are currently 34 dogwood trees in the park?",,X=34+49,83
70005,"If the park workers plant 49 dogwood trees today and there are already 34 dogwood trees in the park, how many dogwood trees will the park have in total when the workers are finished?",,X=34+49,83
80005,"Given that there are currently 34 dogwood trees in the park and the park workers will plant 49 more today, how many dogwood trees will the park have in total when the workers are finished?",,X=34+49,83
90005,"There are 34 dogwood trees currently in the park, and the park's area is 12 acres. Park workers will plant 49 dogwood trees today, and the park has a perimeter of 36 feet. How many dogwood trees will the park have when the workers are finished?",,X=34+49,83
100005,"There are 34 dogwood trees currently in the park, and the park has 3 restrooms. The park workers will plant 49 dogwood trees today, and the park has a gift shop that sells souvenirs. How many dogwood trees will the park have when the workers are finished?",,X=34+49,83
110005,"There are 34 dogwood trees currently in the park, and the park's picnic area can seat 200 people. The park workers will plant 49 dogwood trees today, and the park has a playground with 5 pieces of equipment. How many dogwood trees will the park have when the workers are finished?",,X=34+49,83
120005,"There are 34 dogwood trees currently in the park, and the park's nature trail is 2 miles long. The park workers will plant 49 dogwood trees today, and the park has a pond with a depth of 10 feet. How many dogwood trees will the park have when the workers are finished?",,X=34+49,83
130005,There are 34 dogwood trees in the park right now. The park workers will plant 49 additional dogwood trees today. How many dogwood trees will the park have in total when they're finished planting them?,,X=34+49,83
140005,"What will be the total number of dogwood trees in the park when the workers are finished planting 49 more trees, given that there are currently 34 dogwood trees in the park?",,X=34+49,83
150005,The park currently has 34 dogwood trees. The workers will plant 49 more dogwood trees today. How many dogwood trees will the park have?,,X=34+49,83
160005,The park will have 83 dogwood trees when the workers are finished planting. Given that there 34 dogwood trees are already in the park and how many will the workers plant today?,,X=83-34,49
6,Maggi had 3 packages of cupcakes . There are 4 cupcakes in each package . She ate 5 cupcakes . How many are left ?,Maggi had 3 packages of cupcakes . There are 4 cupcakes in each package . She ate 5 cupcakes . How many are left ?,X=((3.0*4.0)-5.0),7
10006,Maggi had 3 bags of muffins. There are 4 muffins in each bag. She ate 5 muffins. How many are left?,,X=((3.0*4.0)-5.0),7
20006,Maggi had 3 boxes of cookies. There are 4 cookies in each box. She ate 5 cookies. How many are left?,,X=((3.0*4.0)-5.0),7
30006,Maggi had 3 containers of brownies. There are 4 brownies in each container. She ate 5 brownies. How many are left?,,X=((3.0*4.0)-5.0),7
40006,Maggi had 3 packs of scones. There are 4 scones in each pack. She ate 5 scones. How many are left?,,X=((3.0*4.0)-5.0),7
50006,Maggi had 3 tins of donuts. There are 4 donuts in each tin. She ate 5 donuts. How many are left?,,X=((3.0*4.0)-5.0),7
60006,"How many cupcakes does Maggi have left after eating 5, given that she had 3 packages of cupcakes with 4 cupcakes in each package?",,X=((3.0*4.0)-5.0),7
70006,"If Maggi had 3 packages of cupcakes with 4 cupcakes in each package, and she ate 5 cupcakes, how many cupcakes does she have left?",,X=((3.0*4.0)-5.0),7
80006,"Maggi had 3 packages of cupcakes with 4 cupcakes in each package. After eating 5 cupcakes, how many cupcakes does she have left?",,X=((3.0*4.0)-5.0),7
90006,Maggi ate 5 cupcakes. She had 3 packages of cupcakes with 4 cupcakes in each package. How many cupcakes does she have left?,,X=((3.0*4.0)-5.0),7
100006,"Maggi had 3 packages of cupcakes, each with 4 cupcakes. After eating 5 cupcakes, how many cupcakes does she have left?",,X=((3.0*4.0)-5.0),7
110006,"Maggi had 3 packages of cupcakes, which she bought at a store that was exactly 17.5 miles away from her house. There are 4 cupcakes in each package. She ate 5 cupcakes, which she washed down with a glass of milk that had a temperature of exactly 72 degrees Fahrenheit. How many cupcakes does she have left?",,X=((3.0*4.0)-5.0),7
120006,"Maggi had 3 packages of cupcakes, which she received as a gift from her aunt on her birthday. There are 4 cupcakes in each package. She ate 5 cupcakes, which she shared with her best friend who is exactly 5 feet and 3 inches tall. How many cupcakes does she have left?",,X=((3.0*4.0)-5.0),7
130006,"Maggi had 3 packages of cupcakes, which she purchased from a bakery that has been in business for exactly 107 years. There are 4 cupcakes in each package. She ate 5 cupcakes, which she enjoyed while watching a movie that was exactly 2 hours and 35 minutes long. How many cupcakes does she have left?",,X=((3.0*4.0)-5.0),7
140006,"Maggi had 3 packages of cupcakes, which she received as a thank-you gift from a colleague who has exactly 47 email messages in her inbox. There are 4 cupcakes in each package. She ate 5 cupcakes, which she savored while listening to music on her headphones, which have a maximum volume of exactly 105 decibels. How many cupcakes does she have left?",,X=((3.0*4.0)-5.0),7
150006,"Maggi had 3 packages of cupcakes, which she bought from a farmer's market that has exactly 12 stalls. There are 4 cupcakes in each package. She ate 5 cupcakes, which she enjoyed while sitting on a park bench that has been painted exactly 3 times. How many cupcakes does she have left?",,X=((3.0*4.0)-5.0),7
160006,"Maggi has 7 cupcakes left. She initially had 3 packages of cupcakes, with 4 cupcakes in each package. How many cupcakes did she eat?",,X=((3.0*4.0)+7.0),5
7,"You deposit 70 dollars in a savings account that pays an annual interest rate of 3 % . How much simple interest would you earn in 2.5 years , in dollars ?","You deposit 70 dollars in a savings account that pays an annual interest rate of 3 % . How much simple interest would you earn in 2.5 years , in dollars ?",x=70.0*2.5*3.0*0.01,5.25
10007,"You deposit 70 euros in a savings account that pays an annual interest rate of 3%. How much simple interest would you earn in 2.5 years, in euros?",,x=70.0*2.5*3.0*0.01,5.25
20007,"You deposit 70 pounds in a savings account that pays an annual interest rate of 3%. How much simple interest would you earn in 2.5 years, in pounds?",,x=70.0*2.5*3.0*0.01,5.25
30007,"You deposit 70 yen in a savings account that pays an annual interest rate of 3%. How much simple interest would you earn in 2.5 years, in yen?",,x=70.0*2.5*3.0*0.01,5.25
40007,"You deposit 70 yuan in a savings account that pays an annual interest rate of 3%. How much simple interest would you earn in 2.5 years, in yuan?",,x=70.0*2.5*3.0*0.01,5.25
50007,"You deposit 70 won in a savings account that pays an annual interest rate of 3%. How much simple interest would you earn in 2.5 years, in won?",,x=70.0*2.5*3.0*0.01,5.25
60007,"In 2.5 years, how much simple interest would you earn in dollars, given that you deposited 70 dollars in a savings account with an annual interest rate of 3%?",,x=70.0*2.5*3.0*0.01,5.25
70007,"If you deposited 70 dollars in a savings account with an annual interest rate of 3%, how much simple interest would you earn in 2.5 years, in dollars?",,x=70.0*2.5*3.0*0.01,5.25
80007,"You deposited 70 dollars in a savings account with an annual interest rate of 3%. In 2.5 years, how much simple interest would you earn, in dollars?",,x=70.0*2.5*3.0*0.01,5.25
90007,"How much simple interest, in dollars, would you earn in 2.5 years if you deposited 70 dollars in a savings account with an annual interest rate of 3%?",,x=70.0*2.5*3.0*0.01,5.25
100007,"You deposited 70 dollars in a savings account with an annual interest rate of 3%. How much simple interest, in dollars, would you earn in 2.5 years?",,x=70.0*2.5*3.0*0.01,5.25
110007,"What is the starting amount, in dollars, that earns 5.25 dollars in simple interest at a 3% annual rate over 2.5 years?",,x=(5.25/(2.5*3.0*0.01)),70
120007,"How much money, in dollars, did you initially deposit in a savings account that pays 3% annually if you earn 5.25 dollars in simple interest over 2.5 years?",,x=(5.25/(2.5*3.0*0.01)),70
130007,"What is the principal amount, in dollars, of a deposit that earns 5.25 dollars in simple interest at a 3% annual rate over 2.5 years?",,x=(5.25/(2.5*3.0*0.01)),70
140007,"In dollars, how much simple interest would you earn in 2.5 years if you deposited 70 dollars in a savings account that pays an annual interest rate of 3%?",,x=70.0*2.5*3.0*0.01,5.25
150007,"On a 70 dollar deposit in a savings account with a 3% annual interest rate, how much simple interest, in dollars, would you earn in 2.5 years?",,x=70.0*2.5*3.0*0.01,5.25
160007,"If you earn 5.25 dollars in simple interest on a deposit at an annual interest rate of 3% for 2.5 years, what is the initial amount deposited in dollars?",,x=(5.25/(2.5*3.0*0.01)),70
8,Emily collects 63 cards . Emily 's father gives Emily 7 more . Bruce has 13 apples . How many cards does Emily have ?,Emily collects 63 cards . Emily 's father gives Emily 7 more . Bruce has 13 apples . How many cards does Emily have ?,X=(63.0+7.0),70
10008,Samantha collects 63 cards. Samantha's father gives Samantha 7 more. Jerry has 13 apples. How many cards does Samantha have?,,X=(63.0+7.0),70
20008,Ben collects 63 cards. Ben's father gives Ben 7 more. Sarah has 13 apples. How many cards does Ben have?,,X=(63.0+7.0),70
30008,Julia collects 63 cards. Julia's father gives Julia 7 more. Tim has 13 apples. How many cards does Julia have?,,X=(63.0+7.0),70
40008,Katie collects 63 cards. Katie's father gives Katie 7 more. Rachel has 13 apples. How many cards does Katie have?,,X=(63.0+7.0),70
50008,Emily starts with 63 cards. She gets 7 more from her father. Bruce has 13 apples. How many cards does Emily have in total?,,X=(63.0+7.0),70
60008,Emily has 63 cards. Her father gives her 7 more. Bruce has 13 apples. How many cards does Emily have now?,,X=(63.0+7.0),70
70008,"Emily has 63 cards, and then her father gives her 7 more. Bruce has 13 apples. What is the total number of cards Emily has?",,X=(63.0+7.0),70
80008,"With 63 cards, Emily is given 7 more by her father. Bruce has 13 apples. How many cards does Emily have in total?",,X=(63.0+7.0),70
90008,Emily begins with 63 cards and receives an additional 7 from her father. Bruce has 13 apples. How many cards does Emily have in total?,,X=(63.0+7.0),70
100008,Emily has 63 cards and receives 7 more from her father. Bruce has 13 apples and 5 pears. How many cards does Emily have?,,X=(63.0+7.0),70
110008,Emily starts with 63 cards and gets 7 more from her father. Bruce has 13 apples and 5 pears. How many cards does Emily have?,,X=(63.0+7.0),70
120008,"If Emily has 63 cards and receives 7 more from her father, how many cards does Emily have in total? Bruce has 13 apples.",,X=(63.0+7.0),70
130008,"Emily starts with 63 cards and her father gives her 7 more. Bruce has 13 apples, 5 pears, 3 bananas, and 8 oranges. How many cards does Emily have?",,X=(63.0+7.0),70
140008,James collects 63 cards. James's father gives James 7 more. Emily has 13 apples. How many cards does James have?,,X=(63.0+7.0),70
150008,"After collecting 63 cards, Emily's father gives Emily 7 more. Bruce has 13 apples. How many cards does Emily have?",,X=(63.0+7.0),70
160008,"If Emily has 70 cards and her father gives her 7 more, how many cards does Emily start with? Bruce has 13 apples.",,X=(70.0-7.0),63
9,"A chef needs to cook 15 potatoes . He has already cooked 8 . If each potato takes 9 minutes to cook , how long will it take him to cook the rest ?","A chef needs to cook 15 potatoes . He has already cooked 8 . If each potato takes 9 minutes to cook , how long will it take him to cook the rest ?",X=(9.0*(15.0-8.0)),63
10009,"A chef needs to cook 15 carrots. He has already cooked 8. If each carrot takes 9 minutes to cook, how long will it take him to cook the rest?",,X=(9.0*(15.0-8.0)),63
20009,"A chef needs to cook 15 onions. He has already cooked 8. If each onion takes 9 minutes to cook, how long will it take him to cook the rest?",,X=(9.0*(15.0-8.0)),63
30009,"A chef needs to cook 15 tomatoes. He has already cooked 8. If each tomato takes 9 minutes to cook, how long will it take him to cook the rest?",,X=(9.0*(15.0-8.0)),63
40009,"A chef needs to cook 15 peppers. He has already cooked 8. If each pepper takes 9 minutes to cook, how long will it take him to cook the rest?",,X=(9.0*(15.0-8.0)),63
50009,"A chef needs to cook 15 zucchinis. He has already cooked 8. If each zucchini takes 9 minutes to cook, how long will it take him to cook the rest?",,X=(9.0*(15.0-8.0)),63
60009,"If a chef needs to cook 15 potatoes and he has already cooked 8, how long will it take him to cook the rest if each potato takes 9 minutes?",,X=(9.0*(15.0-8.0)),63
70009,A chef has to cook 15 potatoes. He has already cooked 8. What is the time it will take him to cook the rest if each potato takes 9 minutes?,,X=(9.0*(15.0-8.0)),63
80009,A chef needs to cook 15 potatoes. He has already cooked 8. How many minutes will it take to cook the rest if each potato takes 9 minutes?,,X=(9.0*(15.0-8.0)),63
90009,"The chef needs to cook 15 potatoes. He has already cooked 8. How long, in minutes, will it take to cook the rest if each potato takes 9 minutes?",,X=(9.0*(15.0-8.0)),63
100009,A chef has 15 potatoes to cook. He has already cooked 8. How many minutes will it take to cook the rest if each potato takes 9 minutes?,,X=(9.0*(15.0-8.0)),63
110009,"The chef has to cook 15 potatoes. He has already cooked 8. If each potato takes 9 minutes, how long will it take to cook the rest?",,X=(9.0*(15.0-8.0)),63
120009,"A chef is cooking 15 potatoes and it takes him 9 minutes per potato. He has already cooked some, and it took him 63 minutes to cook the rest. How many potatoes has he already cooked?",,X=(15.0-(63.0/9.0)),8
130009,"The chef has 15 potatoes to cook, and it takes him 9 minutes per potato. He has already cooked some of them, and it took him 63 minutes to cook the rest. How many potatoes has he already cooked?",,X=(15.0-(63.0/9.0)),8
140009,"If a chef takes 9 minutes to cook each of 15 potatoes, and it takes him 63 minutes to finish cooking the rest of them, how many potatoes has he already cooked?",,X=(15.0-(63.0/9.0)),8
150009,"A chef is cooking potatoes, and it takes him 9 minutes per potato. He has 15 potatoes to cook in total, and it takes him 63 minutes to cook the rest. How many potatoes has he already cooked?",,X=(15.0-(63.0/9.0)),8
160009,"If a chef needs to cook 15 potatoes and it takes him 63 minutes to cook the rest, how many potatoes has he already cooked if each potato takes 9 minutes?",,X=(15.0-(63.0/9.0)),8
10,It takes 4 apples to make 1 pie . How many apples does it take to make 504 pies ?,It takes 4 apples to make 1 pie . How many apples does it take to make 504 pies ?,X=(4.0*504.0),2016
100010,It takes 4 bananas to make 1 cake. How many bananas does it take to make 504 cakes?,,X=(4.0*504.0),2016
200010,It takes 4 oranges to make 1 smoothie. How many oranges does it take to make 504 smoothies?,,X=(4.0*504.0),2016
300010,It takes 4 cherries to make 1 tart. How many cherries does it take to make 504 tarts?,,X=(4.0*504.0),2016
400010,It takes 4 peaches to make 1 cobbler. How many peaches does it take to make 504 cobblers?,,X=(4.0*504.0),2016
500010,It takes 4 pineapples to make 1 punch. How many pineapples does it take to make 504 punches?,,X=(4.0*504.0),2016
600010,"To make 1 pie, it takes 4 apples. How many apples does it take to make 504 pies?",,X=(4.0*504.0),2016
700010,"Making 1 pie requires 4 apples. To make 504 pies, how many apples are needed?",,X=(4.0*504.0),2016
800010,"The number of apples needed to make 1 pie is 4. To make 504 pies, how many apples are needed?",,X=(4.0*504.0),2016
900010,"One pie requires 4 apples to make. In order to make 504 pies, how many apples are needed?",,X=(4.0*504.0),2016
1000010,"For every 1 pie made, 4 apples are used. To make 504 pies, how many apples are needed?",,X=(4.0*504.0),2016
1100010,It takes 4 apples to make 1 pie and 15 minutes to bake it. How many apples does it take to make 504 pies?,,X=(4.0*504.0),2016
1200010,"It takes 4 apples to make 1 pie, and the recipe calls for 2 tablespoons of sugar. How many apples does it take to make 504 pies?",,X=(4.0*504.0),2016
1300010,It takes 4 apples to make 1 pie and the recipe yields 6 servings. How many apples does it take to make 504 pies?,,X=(4.0*504.0),2016
1400010,"It takes 4 apples to make 1 pie, and the recipe calls for 1 cup of flour. How many apples does it take to make 504 pies?",,X=(4.0*504.0),2016
1500010,"It takes 4 apples to make 1 pie, and the recipe calls for 1 teaspoon of vanilla extract. How many apples does it take to make 504 pies?",,X=(4.0*504.0),2016
1600010,"If we need 2016 apples to make some pies and it takes 4 apples to make 1 pie, how many pies can we make?",,X=(2016.0/4.0),504
11,"Enrique puts 12 % of his monthly paycheck in an IRA . If he invests 72 dollars in his IRA , how much was his paycheck ?","Enrique puts 12 % of his monthly paycheck in an IRA . If he invests 72 dollars in his IRA , how much was his paycheck ?",x=72.0/12/0.01,600
100011,"Enrique puts 12 % of his monthly pay in a retirement account. If he invests 72 dollars in the account, how much was his monthly pay?",,x=72.0/12/0.01,600
200011,"If Enrique puts 12 % of his monthly salary in a retirement account and he invests 72 dollars, how much was his monthly salary?",,x=72.0/12/0.01,600
300011,"Enrique puts 12 % of his salary for the month in a retirement account. If he invests 72 dollars in the account, how much was his salary for the month?",,x=72.0/12/0.01,600
400011,"If Enrique puts 12 % of his income for the month in a retirement account and he invests 72 dollars, how much was his income for the month?",,x=72.0/12/0.01,600
500011,"Enrique puts 12 % of his monthly pay in a retirement account. If he invests 72 dollars in the account, how much was his monthly pay?",,x=72.0/12/0.01,600
600011,"Enrique puts 12 % of his monthly paycheck in an IRA. If he invests 72 dollars in the IRA, what was the amount of his monthly paycheck?",,x=72.0/12/0.01,600
700011,"If Enrique puts 12 % of his monthly paycheck in an IRA and he invests 72 dollars in the IRA, what was the amount of his monthly paycheck?",,x=72.0/12/0.01,600
800011,"Enrique invests 72 dollars in his IRA, which represents 12 % of his monthly paycheck. What was the amount of his monthly paycheck?",,x=72.0/12/0.01,600
900011,"If Enrique invests 72 dollars in his IRA and this represents 12 % of his monthly paycheck, what was the amount of his monthly paycheck?",,x=72.0/12/0.01,600
1000011,"Enrique puts 12 % of his monthly paycheck in an IRA. If he invests 72 dollars in the IRA, what was the amount of his monthly paycheck?",,x=72.0/12/0.01,600
1100011,"Enrique puts 12 % of his monthly paycheck in an IRA, and he works 40 hours a week. If he invests 72 dollars in the IRA, how much was his monthly paycheck?",,x=72.0/12/0.01,600
1200011,"Enrique puts 12 % of his monthly paycheck in an IRA, and he has 3 children. If he invests 72 dollars in the IRA, how much was his monthly paycheck?",,x=72.0/12/0.01,600
